"timeslot","weekday"
"FRI 07_45 - 08_30","FRI"
"FRI 08_30 - 09_15","FRI"
"FRI 09_15 - 10_00","FRI"
"FRI 10_00 - 10_45","FRI"
"FRI 10_45 - 11_25","FRI"
"FRI 11_55 - 12_40","FRI"
"FRI 12_40 - 13_25","FRI"
"FRI 13_25 - 14_10","FRI"
"FRI 14_10 - 14_50","FRI"
"MON 07_45 - 08_30","MON"
"MON 08_30 - 09_15","MON"
"MON 09_15 - 10_00","MON"
"MON 10_00 - 10_45","MON"
"MON 10_45 - 11_25","MON"
"MON 11_55 - 12_40","MON"
"MON 12_40 - 13_25","MON"
"MON 13_25 - 14_10","MON"
"MON 14_10 - 14_50","MON"
"THU 07_45 - 08_30","THU"
"THU 08_30 - 09_15","THU"
"THU 09_15 - 10_00","THU"
"THU 10_00 - 10_45","THU"
"THU 10_45 - 11_25","THU"
"THU 11_55 - 12_40","THU"
"THU 12_40 - 13_25","THU"
"THU 13_25 - 14_10","THU"
"THU 14_10 - 14_50","THU"
"TUE 07_45 - 08_30","TUE"
"TUE 08_30 - 09_15","TUE"
"TUE 09_15 - 10_00","TUE"
"TUE 10_00 - 10_45","TUE"
"TUE 10_45 - 11_25","TUE"
"TUE 11_55 - 12_40","TUE"
"TUE 12_40 - 13_25","TUE"
"TUE 13_25 - 14_10","TUE"
"TUE 14_10 - 14_50","TUE"
"WED 07_45 - 08_30","WED"
"WED 08_30 - 09_15","WED"
"WED 09_15 - 10_00","WED"
"WED 10_00 - 10_45","WED"
"WED 10_45 - 11_25","WED"
"WED 11_55 - 12_40","WED"
"WED 12_40 - 13_25","WED"
"WED 13_25 - 14_10","WED"
"WED 14_10 - 14_50","WED"
